ID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,2505
1,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1466
2,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,157
3,1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1400
4,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,925
5,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,6104
6,1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1550
7,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,2609
8,0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,2646
9,1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3022
10,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,4823
11,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,2836
12,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,4693
13,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,4265
14,1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2337
15,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,5959
16,0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,46
17,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,5704
18,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,4416
19,0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1433
20,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,3340
21,1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,1651
22,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,1609
23,0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3041
24,1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2567
25,0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,959
26,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4019
